country;continent;1952;1957;1962;1967;1972;1977;1982;1987;1992;1997;2002;2007
Afghanistan;Asia;$779;$821;$853;$836;$740;$786;$978;$852;$649;$635;$727;$975
Albania;Europe;$1.601;$1.942;$2.313;$2.760;$3.313;$3.533;$3.631;$3.739;$2.497;$3.193;$4.604;$5.937
Algeria;Africa;$2.449;$3.014;$2.551;$3.247;$4.183;$4.910;$5.745;$5.681;$5.023;$4.797;$5.288;$6.223
Angola;Africa;$3.521;$3.828;$4.269;$5.523;$5.473;$3.009;$2.757;$2.430;$2.628;$2.277;$2.773;$4.797
Argentina;Americas;$5.911;$6.857;$7.133;$8.053;$9.443;$10.079;$8.998;$9.140;$9.308;$10.967;$8.798;$12.779
Australia;Oceania;$10.040;$10.950;$12.217;$14.526;$16.789;$18.334;$19.477;$21.889;$23.425;$26.998;$30.688;$34.435
Austria;Europe;$6.137;$8.843;$10.751;$12.835;$16.662;$19.749;$21.597;$23.688;$27.042;$29.096;$32.418;$36.126
Bahrain;Asia;$9.867;$11.636;$12.753;$14.805;$18.269;$19.340;$19.211;$18.524;$19.036;$20.292;$23.404;$29.796
Bangladesh;Asia;$684;$662;$686;$721;$630;$660;$677;$752;$838;$973;$1.136;$1.391
Belgium;Europe;$8.343;$9.715;$10.991;$13.149;$16.672;$19.118;$20.980;$22.526;$25.576;$27.561;$30.486;$33.693
Benin;Africa;$1.063;$960;$949;$1.036;$1.086;$1.029;$1.278;$1.226;$1.191;$1.233;$1.373;$1.441
Bolivia;Americas;$2.677;$2.128;$2.181;$2.587;$2.980;$3.548;$3.157;$2.754;$2.962;$3.326;$3.413;$3.822
Bosnia and Herzegovina;Europe;$974;$1.354;$1.710;$2.172;$2.860;$3.528;$4.127;$4.314;$2.547;$4.766;$6.019;$7.446
Botswana;Africa;$851;$918;$984;$1.215;$2.264;$3.215;$4.551;$6.206;$7.954;$8.647;$11.004;$12.570
Brazil;Americas;$2.109;$2.487;$3.337;$3.430;$4.986;$6.660;$7.031;$7.807;$6.950;$7.958;$8.131;$9.066
Bulgaria;Europe;$2.444;$3.009;$4.254;$5.577;$6.597;$7.612;$8.224;$8.240;$6.303;$5.970;$7.697;$10.681
Burkina Faso;Africa;$543;$617;$723;$795;$855;$743;$807;$912;$932;$946;$1.038;$1.217
Burundi;Africa;$339;$380;$355;$413;$464;$556;$560;$622;$632;$463;$446;$430
Cambodia;Asia;$368;$434;$497;$523;$422;$525;$624;$684;$682;$734;$896;$1.714
Cameroon;Africa;$1.173;$1.313;$1.400;$1.508;$1.684;$1.783;$2.368;$2.603;$1.793;$1.694;$1.934;$2.042
Canada;Americas;$11.367;$12.490;$13.462;$16.077;$18.971;$22.091;$22.899;$26.627;$26.343;$28.955;$33.329;$36.319
Central African Republic;Africa;$1.071;$1.191;$1.193;$1.136;$1.070;$1.109;$957;$845;$748;$741;$739;$706
Chad;Africa;$1.179;$1.308;$1.390;$1.197;$1.104;$1.134;$798;$952;$1.058;$1.005;$1.156;$1.704
Chile;Americas;$3.940;$4.316;$4.519;$5.107;$5.494;$4.757;$5.096;$5.547;$7.596;$10.118;$10.779;$13.172
China;Asia;$400;$576;$488;$613;$677;$741;$962;$1.379;$1.656;$2.289;$3.119;$4.959
Colombia;Americas;$2.144;$2.324;$2.492;$2.679;$3.265;$3.816;$4.398;$4.903;$5.445;$6.117;$5.755;$7.007
Comoros;Africa;$1.103;$1.211;$1.407;$1.876;$1.938;$1.173;$1.267;$1.316;$1.247;$1.174;$1.076;$986
Congo, Dem. Rep.;Africa;$781;$906;$896;$862;$905;$796;$674;$673;$458;$312;$241;$278
Congo, Rep.;Africa;$2.126;$2.315;$2.465;$2.678;$3.213;$3.259;$4.880;$4.201;$4.016;$3.484;$3.484;$3.633
Costa Rica;Americas;$2.627;$2.990;$3.461;$4.162;$5.118;$5.927;$5.263;$5.630;$6.160;$6.677;$7.723;$9.645
Cote d'Ivoire;Africa;$1.389;$1.501;$1.729;$2.052;$2.378;$2.518;$2.603;$2.157;$1.648;$1.786;$1.649;$1.545
Croatia;Europe;$3.119;$4.338;$5.478;$6.960;$9.164;$11.305;$13.222;$13.823;$8.448;$9.876;$11.628;$14.619
Cuba;Americas;$5.587;$6.092;$5.181;$5.690;$5.305;$6.380;$7.317;$7.533;$5.593;$5.432;$6.341;$8.948
Czech Republic;Europe;$6.876;$8.256;$10.137;$11.399;$13.108;$14.800;$15.377;$16.310;$14.297;$16.049;$17.596;$22.833
Denmark;Europe;$9.692;$11.100;$13.583;$15.937;$18.866;$20.423;$21.688;$25.116;$26.407;$29.804;$32.167;$35.278
Djibouti;Africa;$2.670;$2.865;$3.021;$3.020;$3.694;$3.082;$2.879;$2.880;$2.377;$1.895;$1.908;$2.082
Dominican Republic;Americas;$1.398;$1.544;$1.662;$1.654;$2.190;$2.682;$2.861;$2.900;$3.044;$3.614;$4.564;$6.025
Ecuador;Americas;$3.522;$3.781;$4.086;$4.579;$5.281;$6.680;$7.214;$6.482;$7.104;$7.429;$5.773;$6.873
Egypt;Africa;$1.419;$1.459;$1.693;$1.815;$2.024;$2.785;$3.504;$3.885;$3.795;$4.173;$4.755;$5.581
El Salvador;Americas;$3.048;$3.422;$3.777;$4.359;$4.520;$5.139;$4.098;$4.140;$4.444;$5.155;$5.352;$5.728
Equatorial Guinea;Africa;$376;$426;$583;$916;$672;$959;$928;$967;$1.132;$2.814;$7.703;$12.154
Eritrea;Africa;$329;$344;$381;$469;$514;$506;$525;$521;$583;$913;$765;$641
Ethiopia;Africa;$362;$379;$419;$516;$566;$557;$578;$574;$421;$516;$530;$691
Finland;Europe;$6.425;$7.545;$9.372;$10.922;$14.359;$15.605;$18.533;$21.141;$20.647;$23.724;$28.205;$33.207
France;Europe;$7.030;$8.663;$10.560;$13.000;$16.107;$18.293;$20.294;$22.066;$24.704;$25.890;$28.926;$30.470
Gabon;Africa;$4.293;$4.976;$6.631;$8.359;$11.402;$21.746;$15.113;$11.864;$13.522;$14.723;$12.522;$13.206
Gambia;Africa;$485;$521;$600;$735;$756;$885;$836;$612;$666;$654;$661;$753
Germany;Europe;$7.144;$10.188;$12.902;$14.746;$18.016;$20.513;$22.032;$24.639;$26.505;$27.789;$30.036;$32.170
Ghana;Africa;$911;$1.044;$1.190;$1.126;$1.178;$993;$876;$847;$925;$1.005;$1.112;$1.328
Greece;Europe;$3.531;$4.916;$6.017;$8.513;$12.725;$14.196;$15.268;$16.121;$17.541;$18.748;$22.514;$27.538
Guatemala;Americas;$2.428;$2.617;$2.750;$3.243;$4.031;$4.880;$4.820;$4.246;$4.439;$4.684;$4.858;$5.186
Guinea;Africa;$510;$576;$686;$709;$742;$875;$857;$806;$794;$869;$946;$943
Guinea-Bissau;Africa;$300;$432;$522;$716;$820;$765;$838;$736;$746;$797;$576;$579
Haiti;Americas;$1.840;$1.727;$1.797;$1.452;$1.654;$1.874;$2.011;$1.823;$1.456;$1.342;$1.270;$1.202
Honduras;Americas;$2.195;$2.220;$2.291;$2.538;$2.530;$3.203;$3.122;$3.023;$3.082;$3.160;$3.100;$3.548
Hong Kong, China;Asia;$3.054;$3.629;$4.693;$6.198;$8.316;$11.186;$14.561;$20.038;$24.758;$28.378;$30.209;$39.725
Hungary;Europe;$5.264;$6.040;$7.550;$9.327;$10.169;$11.675;$12.546;$12.986;$10.536;$11.713;$14.844;$18.009
Iceland;Europe;$7.268;$9.244;$10.350;$13.320;$15.798;$19.655;$23.270;$26.923;$25.144;$28.061;$31.163;$36.181
India;Asia;$547;$590;$658;$701;$724;$813;$856;$977;$1.164;$1.459;$1.747;$2.452
Indonesia;Asia;$750;$859;$849;$762;$1.111;$1.383;$1.517;$1.748;$2.383;$3.119;$2.874;$3.541
Iran;Asia;$3.035;$3.290;$4.187;$5.907;$9.614;$11.889;$7.608;$6.643;$7.236;$8.264;$9.241;$11.606
Iraq;Asia;$4.130;$6.229;$8.342;$8.931;$9.576;$14.688;$14.518;$11.644;$3.746;$3.076;$4.391;$4.471
Ireland;Europe;$5.210;$5.599;$6.632;$7.656;$9.531;$11.151;$12.618;$13.873;$17.559;$24.522;$34.077;$40.676
Israel;Asia;$4.087;$5.385;$7.106;$8.394;$12.787;$13.307;$15.367;$17.122;$18.052;$20.897;$21.906;$25.523
Italy;Europe;$4.931;$6.249;$8.244;$10.022;$12.269;$14.256;$16.537;$19.207;$22.014;$24.675;$27.968;$28.570
Jamaica;Americas;$2.899;$4.757;$5.246;$6.125;$7.434;$6.650;$6.068;$6.351;$7.405;$7.122;$6.995;$7.321
Japan;Asia;$3.217;$4.318;$6.577;$9.848;$14.779;$16.610;$19.384;$22.376;$26.825;$28.817;$28.605;$31.656
Jordan;Asia;$1.547;$1.886;$2.348;$2.742;$2.111;$2.852;$4.161;$4.449;$3.432;$3.645;$3.845;$4.519
Kenya;Africa;$854;$944;$897;$1.057;$1.222;$1.268;$1.348;$1.362;$1.342;$1.360;$1.288;$1.463
Korea, Dem. Rep.;Asia;$1.088;$1.571;$1.622;$2.144;$3.702;$4.106;$4.107;$4.106;$3.726;$1.691;$1.647;$1.593
Korea, Rep.;Asia;$1.031;$1.488;$1.536;$2.029;$3.031;$4.657;$5.623;$8.533;$12.104;$15.994;$19.234;$23.348
Kuwait;Asia;$108.382;$113.523;$95.458;$80.895;$109.348;$59.265;$31.354;$28.118;$34.933;$40.301;$35.110;$47.307
Lebanon;Asia;$4.835;$6.090;$5.715;$6.007;$7.486;$8.660;$7.641;$5.377;$6.891;$8.755;$9.314;$10.461
Lesotho;Africa;$299;$336;$412;$499;$497;$745;$797;$774;$977;$1.186;$1.275;$1.569
Liberia;Africa;$576;$621;$634;$714;$803;$640;$572;$506;$637;$609;$531;$415
Libya;Africa;$2.388;$3.448;$6.757;$18.773;$21.011;$21.951;$17.364;$11.771;$9.640;$9.467;$9.535;$12.057
Madagascar;Africa;$1.443;$1.589;$1.643;$1.634;$1.749;$1.544;$1.303;$1.155;$1.041;$986;$895;$1.045
Malawi;Africa;$369;$416;$428;$496;$585;$663;$633;$636;$563;$692;$665;$759
Malaysia;Asia;$1.831;$1.810;$2.037;$2.278;$2.849;$3.828;$4.920;$5.250;$7.278;$10.133;$10.207;$12.452
Mali;Africa;$452;$490;$496;$545;$581;$686;$618;$684;$739;$790;$951;$1.043
Mauritania;Africa;$743;$846;$1.056;$1.421;$1.587;$1.497;$1.481;$1.422;$1.361;$1.483;$1.579;$1.803
Mauritius;Africa;$1.968;$2.034;$2.529;$2.475;$2.575;$3.711;$3.688;$4.784;$6.058;$7.426;$9.022;$10.957
Mexico;Americas;$3.478;$4.132;$4.582;$5.755;$6.809;$7.675;$9.611;$8.688;$9.472;$9.767;$10.742;$11.978
Mongolia;Asia;$787;$913;$1.056;$1.226;$1.422;$1.648;$2.001;$2.338;$1.785;$1.902;$2.141;$3.096
Montenegro;Europe;$2.648;$3.682;$4.650;$5.908;$7.778;$9.596;$11.223;$11.733;$7.003;$6.466;$6.557;$9.254
Morocco;Africa;$1.688;$1.642;$1.566;$1.711;$1.930;$2.371;$2.703;$2.755;$2.948;$2.982;$3.258;$3.820
Mozambique;Africa;$469;$496;$557;$567;$725;$502;$462;$390;$411;$472;$634;$824
Myanmar;Asia;$331;$350;$388;$349;$357;$371;$424;$385;$347;$415;$611;$944
Namibia;Africa;$2.424;$2.621;$3.173;$3.794;$3.746;$3.876;$4.191;$3.694;$3.805;$3.900;$4.072;$4.811
Nepal;Asia;$546;$598;$652;$676;$675;$694;$718;$776;$898;$1.011;$1.057;$1.091
Netherlands;Europe;$8.942;$11.276;$12.791;$15.363;$18.795;$21.209;$21.399;$23.651;$26.791;$30.246;$33.725;$36.798
New Zealand;Oceania;$10.557;$12.247;$13.176;$14.464;$16.046;$16.234;$17.632;$19.007;$18.363;$21.050;$23.190;$25.185
Nicaragua;Americas;$3.112;$3.457;$3.634;$4.643;$4.689;$5.486;$3.470;$2.956;$2.170;$2.253;$2.475;$2.749
Niger;Africa;$762;$836;$998;$1.054;$954;$809;$910;$668;$581;$580;$601;$620
Nigeria;Africa;$1.077;$1.101;$1.151;$1.015;$1.698;$1.982;$1.577;$1.385;$1.620;$1.625;$1.615;$2.014
Norway;Europe;$10.095;$11.654;$13.450;$16.362;$18.965;$23.311;$26.299;$31.541;$33.966;$41.283;$44.684;$49.357
Oman;Asia;$1.828;$2.243;$2.925;$4.721;$10.618;$11.848;$12.955;$18.115;$18.617;$19.702;$19.775;$22.316
Pakistan;Asia;$685;$747;$803;$942;$1.050;$1.176;$1.443;$1.705;$1.972;$2.049;$2.093;$2.606
Panama;Americas;$2.480;$2.962;$3.537;$4.421;$5.364;$5.352;$7.010;$7.035;$6.619;$7.114;$7.356;$9.809
Paraguay;Americas;$1.952;$2.046;$2.148;$2.299;$2.523;$3.248;$4.259;$3.999;$4.196;$4.247;$3.784;$4.173
Peru;Americas;$3.759;$4.245;$4.957;$5.788;$5.938;$6.281;$6.435;$6.361;$4.446;$5.838;$5.909;$7.409
Philippines;Asia;$1.273;$1.548;$1.650;$1.814;$1.989;$2.373;$2.603;$2.190;$2.279;$2.537;$2.651;$3.190
Poland;Europe;$4.029;$4.734;$5.339;$6.557;$8.007;$9.508;$8.452;$9.082;$7.739;$10.160;$12.002;$15.390
Portugal;Europe;$3.068;$3.775;$4.728;$6.362;$9.022;$10.172;$11.754;$13.039;$16.207;$17.641;$19.971;$20.510
Puerto Rico;Americas;$3.082;$3.907;$5.108;$6.929;$9.123;$9.771;$10.331;$12.281;$14.642;$16.999;$18.856;$19.329
Reunion;Africa;$2.719;$2.769;$3.174;$4.021;$5.048;$4.320;$5.267;$5.303;$6.101;$6.072;$6.316;$7.670
Romania;Europe;$3.145;$3.943;$4.735;$6.471;$8.011;$9.356;$9.605;$9.696;$6.598;$7.347;$7.885;$10.808
Rwanda;Africa;$493;$540;$597;$511;$591;$670;$882;$848;$737;$590;$786;$863
Sao Tome and Principe;Africa;$880;$861;$1.072;$1.385;$1.533;$1.738;$1.890;$1.517;$1.429;$1.339;$1.353;$1.598
Saudi Arabia;Asia;$6.460;$8.158;$11.626;$16.903;$24.837;$34.168;$33.693;$21.198;$24.842;$20.587;$19.015;$21.655
Senegal;Africa;$1.450;$1.568;$1.655;$1.612;$1.598;$1.562;$1.518;$1.442;$1.368;$1.392;$1.520;$1.712
Serbia;Europe;$3.581;$4.981;$6.290;$7.992;$10.522;$12.981;$15.181;$15.871;$9.325;$7.914;$7.236;$9.787
Sierra Leone;Africa;$880;$1.004;$1.117;$1.206;$1.354;$1.348;$1.465;$1.294;$1.069;$575;$699;$863
Singapore;Asia;$2.315;$2.843;$3.675;$4.977;$8.598;$11.210;$15.169;$18.862;$24.770;$33.519;$36.023;$47.143
Slovak Republic;Europe;$5.075;$6.093;$7.481;$8.413;$9.674;$10.923;$11.349;$12.037;$9.498;$12.126;$13.639;$18.678
Slovenia;Europe;$4.215;$5.862;$7.402;$9.405;$12.383;$15.277;$17.867;$18.679;$14.215;$17.161;$20.660;$25.768
Somalia;Africa;$1.136;$1.258;$1.369;$1.285;$1.255;$1.451;$1.177;$1.093;$927;$931;$882;$926
South Africa;Africa;$4.725;$5.487;$5.769;$7.114;$7.766;$8.029;$8.568;$7.826;$7.225;$7.479;$7.711;$9.270
Spain;Europe;$3.834;$4.565;$5.694;$7.994;$10.639;$13.237;$13.926;$15.765;$18.603;$20.445;$24.835;$28.821
Sri Lanka;Asia;$1.084;$1.073;$1.074;$1.136;$1.213;$1.349;$1.648;$1.877;$2.154;$2.664;$3.015;$3.970
Sudan;Africa;$1.616;$1.770;$1.960;$1.688;$1.660;$2.203;$1.896;$1.508;$1.492;$1.632;$1.993;$2.602
Swaziland;Africa;$1.148;$1.245;$1.856;$2.613;$3.365;$3.781;$3.895;$3.985;$3.553;$3.877;$4.128;$4.513
Sweden;Europe;$8.528;$9.912;$12.329;$15.258;$17.832;$18.856;$20.667;$23.587;$23.880;$25.267;$29.342;$33.860
Switzerland;Europe;$14.734;$17.909;$20.431;$22.966;$27.195;$26.982;$28.398;$30.282;$31.872;$32.135;$34.481;$37.506
Syria;Asia;$1.643;$2.117;$2.193;$1.882;$2.571;$3.195;$3.762;$3.117;$3.341;$4.014;$4.091;$4.185
Taiwan;Asia;$1.207;$1.508;$1.823;$2.644;$4.063;$5.597;$7.426;$11.055;$15.216;$20.207;$23.235;$28.718
Tanzania;Africa;$717;$699;$722;$848;$916;$962;$874;$832;$826;$789;$899;$1.107
Thailand;Asia;$758;$794;$1.002;$1.295;$1.524;$1.961;$2.393;$2.983;$4.617;$5.853;$5.913;$7.458
Togo;Africa;$860;$926;$1.068;$1.478;$1.650;$1.533;$1.345;$1.202;$1.034;$982;$886;$883
Trinidad and Tobago;Americas;$3.023;$4.100;$4.998;$5.621;$6.620;$7.900;$9.120;$7.389;$7.371;$8.793;$11.461;$18.009
Tunisia;Africa;$1.468;$1.395;$1.660;$1.932;$2.753;$3.121;$3.560;$3.810;$4.333;$4.877;$5.723;$7.093
Turkey;Europe;$1.969;$2.219;$2.323;$2.826;$3.451;$4.269;$4.241;$5.089;$5.678;$6.601;$6.508;$8.458
Uganda;Africa;$735;$774;$767;$909;$951;$844;$682;$618;$644;$817;$928;$1.056
United Kingdom;Europe;$9.980;$11.283;$12.477;$14.143;$15.895;$17.429;$18.232;$21.665;$22.705;$26.075;$29.479;$33.203
United States;Americas;$13.990;$14.847;$16.173;$19.530;$21.806;$24.073;$25.010;$29.884;$32.004;$35.767;$39.097;$42.952
Uruguay;Americas;$5.717;$6.151;$5.603;$5.445;$5.703;$6.504;$6.920;$7.452;$8.137;$9.230;$7.727;$10.611
Venezuela;Americas;$7.690;$9.802;$8.423;$9.541;$10.505;$13.144;$11.152;$9.884;$10.734;$10.165;$8.605;$11.416
Vietnam;Asia;$605;$676;$772;$637;$700;$714;$707;$821;$989;$1.386;$1.764;$2.442
West Bank and Gaza;Asia;$1.516;$1.827;$2.199;$2.650;$3.133;$3.683;$4.336;$5.107;$6.018;$7.111;$4.515;$3.025
Yemen, Rep.;Asia;$782;$805;$826;$862;$1.265;$1.830;$1.978;$1.972;$1.879;$2.117;$2.235;$2.281
Zambia;Africa;$1.147;$1.312;$1.453;$1.777;$1.773;$1.589;$1.409;$1.213;$1.211;$1.071;$1.072;$1.271
Zimbabwe;Africa;$407;$519;$527;$570;$799;$686;$789;$706;$693;$792;$672;$470
